sequence_a	sequence_b	software	sensitivity	specificity	approx_correlation	correlation	matthew_coefficient
L36887.1_650-721	U22383.1_8197-8124	locarna	1.000	1.000	1.000	1.000	1.000
X66520.1_7-88	K03317.1_4-76	locarna	0.000	0.000	0.000	0.000	-0.038
AF443105.1_231-314	L11764.1_65-148	locarna	1.000	1.000	1.000	1.000	1.000
M16170.1_3-119	K02354.1_1-118	locarna	0.571	0.600	0.586	0.575	0.575
AE004193.1_5679-5861	AE006126.1_222-48	locarna	0.383	0.390	0.387	0.378	0.378
Z74797.1_2502-2432	L07095.1_4950-5016	locarna	1.000	1.000	1.000	1.000	1.000
AP004595.1_261047-260946	AE009203.1_4053-3942	locarna	0.784	0.829	0.806	0.800	0.800
X14415.1_175-335	X01725.1_69-232	locarna	0.000	0.000	0.000	0.000	-0.014
AF077231.1_1-250	AY190403.1_1-182	locarna	0.942	0.907	0.925	0.924	0.924
X58792.1_174-245	AF346999.1_4402-4331	locarna	0.000	0.000	0.000	0.000	-0.030
AF281754.1_65-148	AB115515.1_65-148	locarna	1.000	1.000	1.000	1.000	1.000
X04309.1_2-120	M76572.1_4-118	locarna	0.651	0.636	0.644	0.634	0.634
X14848.1_3820-3750	AC006449.19_196857-196784	locarna	1.000	1.000	1.000	1.000	1.000
U39694.1_9296-9392	X05525.1_1-116	locarna	0.696	0.696	0.696	0.688	0.688
AF457074.1_8613-8668	AJ006022.1_16-71	locarna	0.957	1.000	0.978	0.977	0.977
AF063165.1_456-512	AF442567.1_8146-8202	locarna	1.000	1.000	1.000	1.000	1.000
M34770.1_1-114	U67537.1_493-607	locarna	0.441	0.441	0.441	0.429	0.429
AP002983.1_63669-63596	X12631.1_1937-1868	locarna	1.000	1.000	1.000	1.000	1.000
AF484479.1_59-142	U29412.1_65-149	locarna	1.000	1.000	1.000	1.000	1.000
AE005906.1_7630-7499	AE015324.1_6847-6986	locarna	0.000	0.000	0.000	0.000	-0.034
X13558.1_186-115	M31489.1_112-183	locarna	1.000	1.000	1.000	1.000	1.000
J00642.1_462-533	V00158.1_276-361	locarna	0.000	0.000	0.000	0.000	-0.039
X00239.1_111-183	X16885.1_635-704	locarna	0.429	0.429	0.429	0.400	0.400
V00334.1_358-430	L76657.1_1-67	locarna	1.000	1.000	1.000	1.000	1.000
AJ295203.1_355-605	D00435.1_393-644	locarna	1.000	1.000	1.000	1.000	1.000
J01390.1_6367-6447	J01404.1_5140-5204	locarna	0.000	0.000	0.000	0.000	-0.047
AY371152.1_59-142	AF121502.1_65-148	locarna	1.000	1.000	1.000	1.000	1.000
X14215.1_817-842	J00985.1_345-370	locarna	1.000	1.000	1.000	1.000	1.000
AE005527.1_84-156	AC108081.2_59868-59786	locarna	0.000	0.000	0.000	0.000	-0.033
AE016750.1_293855-293964	AP005074.1_11634-11770	locarna	0.200	0.242	0.221	0.201	0.201
AY451114.1_148-231	AB081214.1_65-148	locarna	1.000	1.000	1.000	1.000	1.000
AY451090.1_148-231	AY371144.1_59-142	locarna	0.000	0.000	0.000	0.000	-0.019
M34772.1_1-114	M34774.1_2-116	locarna	1.000	1.000	1.000	1.000	1.000
AF114034.1_6052-6168	AJ131589.1_3-115	locarna	0.462	0.450	0.456	0.442	0.442
AY371170.1_59-142	AY037272.1_59-142	locarna	0.000	0.000	0.000	0.000	-0.018
U23747.1_2-303	AJ012832.1_2-252	locarna	0.000	0.000	0.000	0.000	-0.008
AE008071.1_8587-8502	AL591978.1_212840-212931	locarna	0.000	0.000	0.000	0.000	-0.039
AY206663.1_65-148	AF255928.1_20-103	locarna	0.000	0.000	0.000	0.000	-0.021
X14441.1_5-123	X00692.1_1-119	locarna	0.758	0.758	0.758	0.753	0.753
AF395810.1_1102-1215	M68880.1_2362-2475	locarna	1.000	1.000	1.000	1.000	1.000
X67736.1_4837-4923	X16745.1_1-74	locarna	0.000	0.000	0.000	0.000	-0.030
AF024243.1_90-141	AY304912.1_1283-1334	locarna	1.000	1.000	1.000	1.000	1.000
AF541919.1_382-632	AF225477.1_351-602	locarna	0.000	0.000	0.000	0.000	-0.007
AJ550907.1_281-333	AJ241819.1_56-3	locarna	1.000	1.000	1.000	1.000	1.000
AY188152.1_2-196	AY190495.1_1-181	locarna	0.000	0.000	0.000	0.000	-0.010
AL591980.1_66651-66543	AE015940.1_18048-17945	locarna	0.300	0.300	0.300	0.285	0.285
AF200843.1_3014-3079	X61066.1_339-412	locarna	1.000	1.000	1.000	1.000	1.000
AF084674.1_65-148	AY134982.1_65-148	locarna	1.000	1.000	1.000	1.000	1.000
X04384.1_652-677	M60746.1_626-651	locarna	1.000	1.000	1.000	1.000	1.000
AF134583.1_1816-1744	X61063.1_119-188	locarna	0.000	0.000	0.000	0.000	-0.036
Z84229.1_1-250	M74249.1_2-256	locarna	0.000	0.000	0.000	0.000	-0.008
D00435.1_4364-4424	AF405666.1_4444-4504	locarna	1.000	1.000	1.000	1.000	1.000
M84630.1_740-796	AF484484.1_8729-8784	locarna	1.000	1.000	1.000	1.000	1.000
M23363.1_611-683	AJ271079.2_114727-114656	locarna	1.000	1.000	1.000	1.000	1.000
K03155.1_22-137	X12886.1_1-117	locarna	0.529	0.486	0.508	0.499	0.499
X00601.1_3997-4154	AL049755.2_30863-31016	locarna	0.295	0.310	0.302	0.293	0.293
AY037276.1_59-142	AB098331.1_838-921	locarna	1.000	1.000	1.000	1.000	1.000
AF391254.1_65-148	AY463227.1_304-387	locarna	0.000	0.000	0.000	0.000	-0.027
AB097870.1_8949-9004	AF115393.1_8995-9051	locarna	1.000	1.000	1.000	1.000	1.000
AF004885.1_1543-1594	AF023966.1_120-171	locarna	1.000	1.000	1.000	1.000	1.000
AB057598.1_1528-1593	AF207756.1_9114-9179	locarna	1.000	1.000	1.000	1.000	1.000
AY358059.1_1284-1335	AF024252.1_120-171	locarna	1.000	1.000	1.000	1.000	1.000
AB078714.1_65-148	Z97080.1_19-102	locarna	0.000	0.000	0.000	0.000	-0.019
AF333036.1_2190-2249	AF053984.1_1951-2017	locarna	1.000	1.000	1.000	1.000	1.000
AF200692.2_21112-21025	X04465.1_21511-21432	locarna	0.609	0.452	0.530	0.508	0.508
AJ301559.2_6784-6876	AE013002.1_8645-8535	locarna	0.273	0.375	0.324	0.295	0.295
AL132709.5_180473-180397	AC121784.2_51879-51950	locarna	0.818	0.818	0.818	0.813	0.813
AF067159.1_232-315	AY371141.1_59-142	locarna	1.000	1.000	1.000	1.000	1.000
K02528.1_1-74	M68929.1_79397-79315	locarna	0.000	0.000	0.000	0.000	-0.031
AF538840.1_1-91	AY302541.1_1-90	locarna	1.000	1.000	1.000	1.000	1.000
X56455.1_161-312	X56457.1_243-390	locarna	0.438	0.447	0.442	0.435	0.435
AF119796.3_392-643	X04468.1_392-643	locarna	0.000	0.000	0.000	0.000	-0.007
AJ550911.1_282-335	AJ005312.1_282-335	locarna	1.000	1.000	1.000	1.000	1.000
X02248.1_3-118	X05081.1_5-114	locarna	0.486	0.486	0.486	0.475	0.475
J04815.1_1-73	M25659.1_553-621	locarna	0.905	1.000	0.952	0.949	0.949
AF036708.1_19036-19140	M33892.1_2-110	locarna	0.692	0.667	0.679	0.672	0.672
BX293564.5_22408-22462	AL928834.15_56933-56987	locarna	1.000	1.000	1.000	1.000	1.000
AE017241.1_124587-124696	AF104225.1_570-680	locarna	0.000	0.000	0.000	0.000	-0.023
AF200843.1_3014-3079	X61065.1_77-164	locarna	0.571	0.600	0.586	0.559	0.559
U14769.1_1-239	AY163822.1_1-254	locarna	0.589	0.581	0.585	0.582	0.582
AE007744.1_3364-3542	AF193754.1_24966-24788	locarna	0.077	0.082	0.079	0.066	0.066
U81279.1_1-220	AY070205.1_1-277	locarna	0.000	0.000	0.000	0.000	-0.010
X05057.1_3-119	M33888.1_3-119	locarna	1.000	1.000	1.000	1.000	1.000
AY036578.1_392-643	AF311939.1_395-646	locarna	1.000	1.000	1.000	1.000	1.000
AE008680.1_732-813	AE009624.1_3419-3517	locarna	0.806	0.906	0.856	0.849	0.849
X15379.1_71-144	X69098.1_1-73	locarna	1.000	1.000	1.000	1.000	1.000
AE016785.1_288775-288889	AE017281.1_27688-27573	locarna	0.000	0.000	0.000	0.000	-0.021
J04815.1_1662-1729	X61063.1_119-188	locarna	0.000	0.000	0.000	0.000	-0.032
AJ131593.1_3-115	AJ131588.1_3-114	locarna	0.484	0.500	0.492	0.483	0.483
J01533.1_143-72	AF160864.1_20552-20480	locarna	0.455	0.455	0.455	0.439	0.439
X01078.1_1396-1463	AC008345.4_147881-147810	locarna	1.000	1.000	1.000	1.000	1.000
AF386013.1_65-148	AY451168.1_147-230	locarna	1.000	1.000	1.000	1.000	1.000
U29242.1_1296-1347	AB090998.1_1281-1332	locarna	1.000	1.000	1.000	1.000	1.000
V01420.1_2-120	X06833.1_1-115	locarna	1.000	1.000	1.000	1.000	1.000
M16843.1_2824-2752	X03676.1_445-516	locarna	1.000	1.000	1.000	1.000	1.000
L11756.1_65-148	AY038239.1_65-148	locarna	1.000	1.000	1.000	1.000	1.000
AF101250.1_1-119	M36313.1_2-120	locarna	1.000	1.000	1.000	1.000	1.000
AF102220.1_389-445	U72079.1_331-387	locarna	1.000	1.000	1.000	1.000	1.000
AC024877.2_101525-101454	U33007.1_60769-60697	locarna	1.000	1.000	1.000	1.000	1.000
X60506.1_390-492	X76389.1_1447-1553	locarna	0.897	0.897	0.897	0.895	0.895
L27162.1_2-122	X59479.1_518-634	locarna	0.605	0.622	0.613	0.606	0.606
AE000007.2_3022-3129	X06996.1_1-118	locarna	0.541	0.556	0.548	0.536	0.536
AB029447.1_1210-1265	AL592062.11_88031-88081	locarna	0.533	0.615	0.574	0.558	0.558
X55514.2_4047-4119	D10368.1_1439-1508	locarna	0.864	0.864	0.864	0.857	0.857
AY302555.1_7300-7420	AY302544.1_7313-7433	locarna	1.000	1.000	1.000	1.000	1.000
D13619.1_3-119	X12622.1_1-118	locarna	0.700	0.700	0.700	0.693	0.693
X05394.1_580-653	M10217.1_4724-4798	locarna	1.000	1.000	1.000	1.000	1.000
AC092237.1_57223-57161	AE003628.2_106178-106240	locarna	1.000	1.000	1.000	1.000	1.000
U38240.1_1156-1269	AF319664.1_1334-1447	locarna	1.000	1.000	1.000	1.000	1.000
AE009471.1_6144-5974	AE016755.1_79951-79852	locarna	0.000	0.000	0.000	0.000	-0.017
AY518966.1_46-97	AJ583710.1_52-103	locarna	1.000	1.000	1.000	1.000	1.000
AY451135.1_148-231	L11754.1_65-148	locarna	1.000	1.000	1.000	1.000	1.000
Z30973.1_7231-6935	AC002512.1_76041-75744	locarna	0.000	0.000	0.000	0.000	-0.009
AF024163.1_90-141	AF024112.1_120-171	locarna	1.000	1.000	1.000	1.000	1.000
AL646057.1_132458-132357	AE017241.1_138845-138735	locarna	0.333	0.348	0.341	0.326	0.326
AY518945.1_46-97	AJ535000.1_23-74	locarna	1.000	1.000	1.000	1.000	1.000
AE008441.1_6797-6885	AE017166.1_115998-115896	locarna	0.000	0.000	0.000	0.000	-0.021
AF036756.1_118-162	Z69689.1_341-389	locarna	0.714	0.667	0.690	0.669	0.669
X76918.1_1-348	L29616.1_5-230	locarna	0.526	0.526	0.526	0.523	0.523
AF311938.1_7320-7445	AY302541.1_7317-7437	locarna	0.143	0.143	0.143	0.131	0.131
AJ132960.1_390-640	AF363454.1_426-676	locarna	1.000	1.000	1.000	1.000	1.000
D16619.1_1040-1076	AF208024.1_9300-9336	locarna	1.000	1.000	1.000	1.000	1.000
Z50077.1_4-121	Z50057.1_2-118	locarna	0.675	0.730	0.702	0.697	0.697
D87492.1_1479-1524	AF036747.1_117-160	locarna	1.000	1.000	1.000	1.000	1.000
M18050.1_273-344	X52392.1_2273-2345	locarna	0.400	0.400	0.400	0.364	0.364
AF457079.1_8709-8764	AF102200.1_313-369	locarna	1.000	1.000	1.000	1.000	1.000
AP005048.1_244084-244179	AP005079.1_55102-55198	locarna	0.000	0.000	0.000	0.000	-0.033
M20952.1_1-71	AC009323.4_14362-14281	locarna	0.571	0.632	0.602	0.587	0.587
AE010046.1_2764-2849	AE017232.1_187012-187109	locarna	0.320	0.267	0.293	0.260	0.260
AY463221.1_277-360	AB044042.1_65-148	locarna	1.000	1.000	1.000	1.000	1.000
AY535669.1_171-222	AF349347.1_33-84	locarna	1.000	1.000	1.000	1.000	1.000
AF254697.1_393-448	AF071474.1_8749-8804	locarna	0.000	0.000	0.000	0.000	-0.045
S83742.1_1-102	X71486.1_1-101	locarna	0.828	1.000	0.914	0.908	0.908
X06837.1_1-119	AE000559.1_152-269	locarna	0.632	0.667	0.649	0.641	0.641
U34603.1_854-937	AF418454.1_48-131	locarna	0.000	0.000	0.000	0.000	-0.024
AE016792.1_163969-163863	AE007380.1_3446-3534	locarna	1.000	1.000	1.000	1.000	1.000
AF263012.1_9229-9015	AL939107.1_140625-140436	locarna	0.104	0.109	0.107	0.094	0.094
X02236.1_3-119	X01619.1_1-119	locarna	0.605	0.650	0.627	0.617	0.617
AF096647.1_393-449	AF063150.1_457-513	locarna	1.000	1.000	1.000	1.000	1.000
M22010.1_3113-3185	AF234285.1_261-333	locarna	1.000	1.000	1.000	1.000	1.000
AY140560.1_882-933	AY165215.1_142-193	locarna	1.000	1.000	1.000	1.000	1.000
X00073.1_1-117	K03160.1_1-118	locarna	1.000	1.000	1.000	1.000	1.000
AE008799.1_19388-19461	X01017.1_487-417	locarna	0.952	0.952	0.952	0.951	0.951
AY535725.1_171-222	AY535692.1_171-222	locarna	1.000	1.000	1.000	1.000	1.000
M68929.1_166107-166035	AE008829.1_931-842	locarna	0.000	0.000	0.000	0.000	-0.030
AY518988.1_46-97	AF457076.1_1284-1335	locarna	1.000	1.000	1.000	1.000	1.000
AF487242.1_558-475	X00229.1_1945-2016	locarna	0.455	0.455	0.455	0.439	0.439
AF484505.1_1293-1344	AY181079.1_46-97	locarna	1.000	1.000	1.000	1.000	1.000
U23392.1_1-307	U14772.1_1-239	locarna	0.000	0.000	0.000	0.000	-0.009
AC008670.6_83597-83665	X00083.1_99-171	locarna	1.000	1.000	1.000	1.000	1.000
AJ550906.1_56-3	AJ550901.1_282-334	locarna	1.000	1.000	1.000	1.000	1.000
AL445564.1_265255-265358	AE016978.1_72938-72839	locarna	0.000	0.000	0.000	0.000	-0.030
AE007554.1_96-198	AP004828.1_56121-56010	locarna	0.941	0.941	0.941	0.940	0.940
AB042240.3_82974-82901	X66439.1_1-73	locarna	0.000	0.000	0.000	0.000	-0.031
AY253303.1_1281-1332	AY165269.1_236-287	locarna	1.000	1.000	1.000	1.000	1.000
AY344041.1_1-342	AF207772.1_1-379	locarna	1.000	1.000	1.000	1.000	1.000
M67463.1_9321-9357	AY045702.1_9320-9356	locarna	1.000	1.000	1.000	1.000	1.000
AY165192.1_239-290	AY492788.1_854-904	locarna	1.000	1.000	1.000	1.000	1.000
M34758.1_2-116	AF114033.1_6078-6194	locarna	0.417	0.417	0.417	0.404	0.404
AF457070.1_59-142	AB034901.1_65-148	locarna	1.000	1.000	1.000	1.000	1.000
X83550.1_739-764	AY028698.1_489-514	locarna	1.000	1.000	1.000	1.000	1.000
AE003624.2_69897-69824	M87833.1_2781-2865	locarna	0.444	0.500	0.472	0.451	0.451
X56490.1_1-119	X52049.1_2-120	locarna	1.000	1.000	1.000	1.000	1.000
AF115448.1_65-148	AY423384.1_389-472	locarna	1.000	1.000	1.000	1.000	1.000
AF008220.1_6888-6961	X04561.1_1-72	locarna	0.455	0.476	0.465	0.447	0.447
AF408629.1_22-78	M58200.1_744-800	locarna	1.000	1.000	1.000	1.000	1.000
AF036391.1_121-168	AF036397.1_119-166	locarna	1.000	1.000	1.000	1.000	1.000
AE005245.1_5337-5264	X15901.1_99287-99217	locarna	0.962	1.000	0.981	0.980	0.980
X02172.1_335-407	Z82044.1_16031-16103	locarna	0.000	0.000	0.000	0.000	-0.028
AL132709.5_134553-134482	AL132709.5_139624-139553	locarna	1.000	1.000	1.000	1.000	1.000
AJ247113.1_134-53	AJ247123.1_132-52	locarna	0.857	0.857	0.857	0.853	0.853
AF064699.1_2107-2158	AY304885.1_1280-1331	locarna	1.000	1.000	1.000	1.000	1.000
D10074.1_1-374	D45877.1_1-238	locarna	0.253	0.250	0.252	0.246	0.246
D00559.1_56-142	M89651.1_39808-39722	locarna	0.000	0.000	0.000	0.000	-0.030
AF165049.1_1-379	AY190489.1_1-181	locarna	0.500	0.450	0.475	0.469	0.469
X74126.1_2430-2501	K02974.1_529-600	locarna	0.762	0.727	0.745	0.736	0.736
AB049090.1_1-360	AY145967.1_2-232	locarna	0.000	0.000	0.000	0.000	-0.008
X03018.1_1285-1310	X05620.1_58-83	locarna	1.000	1.000	1.000	1.000	1.000
AF238483.1_9353-9388	D49760.1_1041-1076	locarna	1.000	1.000	1.000	1.000	1.000
AL646068.1_58739-58896	BX321864.1_302773-302659	locarna	0.000	0.000	0.000	0.000	-0.025
AP005084.1_128021-127914	AP005959.1_127882-128010	locarna	0.103	0.129	0.116	0.091	0.091
X99772.1_5062-5131	X02172.1_74-145	locarna	1.000	1.000	1.000	1.000	1.000
AE007573.1_4052-3947	AP004602.1_9845-9739	locarna	0.289	0.297	0.293	0.272	0.272
AP003253.3_106424-106740	X14661.1_2-308	locarna	0.142	0.163	0.152	0.146	0.146
X54421.1_14314-14385	D85268.1_459-527	locarna	1.000	1.000	1.000	1.000	1.000
AY371165.1_1287-1338	AF193253.1_1467-1518	locarna	1.000	1.000	1.000	1.000	1.000
AF067200.1_16-89	AC009395.7_99012-98941	locarna	1.000	1.000	1.000	1.000	1.000
AF036401.1_123-167	AF036750.1_119-165	locarna	0.267	0.267	0.267	0.225	0.225
X13824.1_2-83	X16643.1_820-900	locarna	0.320	0.333	0.327	0.308	0.308
AY518945.1_46-97	AJ249237.1_1294-1345	locarna	1.000	1.000	1.000	1.000	1.000
AC084153.1_28467-28538	U39708.1_2300-2229	locarna	1.000	1.000	1.000	1.000	1.000
AF484493.1_1290-1341	AF377959.1_1281-1332	locarna	1.000	1.000	1.000	1.000	1.000
AF067159.1_232-315	M26727.1_400-483	locarna	1.000	1.000	1.000	1.000	1.000
X06844.1_1-119	X13034.1_1-119	locarna	1.000	1.000	1.000	1.000	1.000
AY451200.1_147-230	AF418338.1_65-148	locarna	0.000	0.000	0.000	0.000	-0.019
X04465.1_68119-68052	V00712.1_1227-1289	locarna	0.818	0.818	0.818	0.809	0.809
AP000058.1_196062-195789	U40756.1_3688-3391	locarna	0.000	0.000	0.000	0.000	-0.016
AB081375.1_266-517	AF524867.1_393-644	locarna	0.623	0.623	0.623	0.621	0.621
X12631.1_1014-1084	AE004294.1_4314-4241	locarna	0.000	0.000	0.000	0.000	-0.042
AF314018.1_1820-1748	X60981.1_3898-3969	locarna	1.000	1.000	1.000	1.000	1.000
X05052.1_3-119	X52049.1_2-120	locarna	0.714	0.769	0.742	0.734	0.734
AE008893.1_17175-17247	Z98744.2_66305-66234	locarna	1.000	1.000	1.000	1.000	1.000
X00596.1_394-644	AJ295189.1_351-601	locarna	0.026	0.025	0.026	0.019	0.019
L28896.1_463-561	AF254701.1_540-638	locarna	1.000	1.000	1.000	1.000	1.000
L36897.1_2659-2743	AB027572.1_1941-1862	locarna	0.560	0.609	0.584	0.568	0.568
AF041286.1_1-191	L34383.1_1-279	locarna	0.701	0.746	0.724	0.721	0.721
U67517.1_7511-7582	M87833.1_2781-2865	locarna	0.318	0.269	0.294	0.269	0.269
AF484512.1_1296-1347	AY519079.1_46-97	locarna	1.000	1.000	1.000	1.000	1.000
X05524.1_5-117	Z11818.1_3-116	locarna	0.432	0.432	0.432	0.420	0.420
X02731.1_3-119	X54477.1_2-120	locarna	0.150	0.154	0.152	0.128	0.128
J01470.1_315-386	X14485.1_2-72	locarna	0.545	0.750	0.648	0.630	0.630
BX571861.1_7126-7022	AE016978.1_72938-72839	locarna	0.000	0.000	0.000	0.000	-0.020
X02731.1_3-119	D10528.1_1-121	locarna	0.026	0.026	0.026	-0.001	-0.001
U81464.1_411-509	AF196718.1_579-677	locarna	1.000	1.000	1.000	1.000	1.000
AF041272.1_1-191	AF055301.1_1-238	locarna	0.967	0.952	0.959	0.959	0.959
M91385.1_1046-1118	X17658.1_140-72	locarna	1.000	1.000	1.000	1.000	1.000
M21085.1_9-299	AJ248283.1_57201-56921	locarna	0.090	0.093	0.092	0.082	0.082
Z35950.1_5070-5141	X03154.1_608-697	locarna	0.238	0.250	0.244	0.216	0.216
AE014429.2_552-315	AE017011.1_46644-46832	locarna	0.145	0.167	0.156	0.142	0.142
AE017007.1_181606-181356	AE017033.1_112246-111996	locarna	0.810	0.800	0.805	0.804	0.804
AF169002.1_1-390	AF077236.1_1-250	locarna	0.711	0.744	0.728	0.725	0.725
U33007.1_60769-60697	X03715.1_1086-1158	locarna	1.000	1.000	1.000	1.000	1.000
AY519069.1_46-97	AF024410.1_93-144	locarna	1.000	1.000	1.000	1.000	1.000
AY165221.1_243-294	AY519085.1_46-97	locarna	1.000	1.000	1.000	1.000	1.000
X03715.1_926-998	X04465.1_90332-90261	locarna	1.000	1.000	1.000	1.000	1.000
AJ243001.2_1-116	X55265.1_3-119	locarna	0.650	0.634	0.642	0.632	0.632
AY165210.1_238-289	AY518958.1_46-97	locarna	1.000	1.000	1.000	1.000	1.000
AF193277.1_230-313	AF386055.1_65-148	locarna	1.000	1.000	1.000	1.000	1.000
AY304902.1_1280-1331	AJ583741.1_51-102	locarna	1.000	1.000	1.000	1.000	1.000
L19778.1_469-494	X80330.1_1457-1482	locarna	1.000	1.000	1.000	1.000	1.000
J01390.1_6234-6306	AE008868.1_12130-12057	locarna	1.000	1.000	1.000	1.000	1.000
X99948.1_65-148	AB074078.1_95-178	locarna	1.000	1.000	1.000	1.000	1.000
V00158.1_276-361	X62800.1_3583-3669	locarna	0.379	0.379	0.379	0.363	0.363
AL939107.1_133849-134073	Z94723.1_23034-23246	locarna	0.164	0.186	0.175	0.166	0.166
L35909.1_103-174	AF347015.1_5827-5762	locarna	1.000	1.000	1.000	1.000	1.000
L38344.1_5-288	AJ437147.1_1-237	locarna	0.000	0.000	0.000	0.000	-0.010
X16888.1_178-111	M10217.1_5770-5840	locarna	0.000	0.000	0.000	0.000	-0.056
AE004209.1_3442-3690	AF070520.1_2088-2190	locarna	1.000	1.000	1.000	1.000	1.000
AJ277126.1_35792-35885	AJ130746.1_1754-1835	locarna	0.423	0.550	0.487	0.462	0.462
AP000988.1_199418-199133	Y08257.1_50512-50799	locarna	0.370	0.374	0.372	0.367	0.367
AJ437045.1_65-148	L11786.1_65-148	locarna	1.000	1.000	1.000	1.000	1.000
AY188115.1_3-196	AY188160.1_2-196	locarna	1.000	1.000	1.000	1.000	1.000
AE006489.1_4483-4560	AE014879.1_5303-5375	locarna	1.000	1.000	1.000	1.000	1.000
AF082395.1_178-261	AY463219.1_303-386	locarna	1.000	1.000	1.000	1.000	1.000
D86541.1_983-1033	AJ238800.1_8920-8970	locarna	1.000	1.000	1.000	1.000	1.000
X01004.1_1-119	M35569.1_4-116	locarna	0.632	0.632	0.632	0.622	0.622
AL391016.1_2459-2530	S64977.1_800-870	locarna	0.000	0.000	0.000	0.000	-0.050
AF323219.1_59-110	AJ291719.1_2082-2133	locarna	1.000	1.000	1.000	1.000	1.000
M68929.1_49940-50012	V00677.1_264-332	locarna	1.000	1.000	1.000	1.000	1.000
AF533126.1_65-148	AY451087.1_148-231	locarna	1.000	1.000	1.000	1.000	1.000
X12977.1_221-293	X66440.1_1-74	locarna	0.905	0.905	0.905	0.902	0.902
AE011991.1_4930-4833	AE010536.1_2776-2673	locarna	0.000	0.000	0.000	0.000	-0.029
AF116561.1_5902-6018	X52297.1_1-116	locarna	0.462	0.462	0.462	0.451	0.451
AJ535037.1_23-74	AF442567.1_1455-1506	locarna	1.000	1.000	1.000	1.000	1.000
L07095.1_4950-5016	X03126.1_244-324	locarna	0.000	0.000	0.000	0.000	-0.057
AE004716.1_11608-11412	BX321858.1_81804-81577	locarna	0.000	0.000	0.000	0.000	-0.016
AF075701.1_1412-1463	AF323243.1_20-71	locarna	1.000	1.000	1.000	1.000	1.000
X03715.1_388-461	AL662865.4_12206-12135	locarna	0.000	0.000	0.000	0.000	-0.036
AY055142.1_294-545	AY055151.1_298-550	locarna	1.000	1.000	1.000	1.000	1.000
S76009.1_35-113	M31830.1_30-129	locarna	0.000	0.000	0.000	0.000	-0.040
AK109157.1_8-245	AP003005.2_245680-245479	locarna	0.000	0.000	0.000	0.000	-0.015
AJ293865.1_209-292	AF082394.1_177-260	locarna	1.000	1.000	1.000	1.000	1.000
X75601.1_91-203	M16170.1_3-119	locarna	0.459	0.459	0.459	0.448	0.448
X00865.1_1-119	X01000.1_1-121	locarna	0.943	0.943	0.943	0.942	0.942
AJ131595.1_3-115	X00190.1_1-118	locarna	0.707	0.763	0.735	0.728	0.728
X02629.1_3-115	Z50074.1_3-119	locarna	0.436	0.436	0.436	0.421	0.421
X55514.2_3882-3954	X03154.1_608-697	locarna	0.000	0.000	0.000	0.000	-0.054
AE007798.1_8173-8025	AL672115.1_15647-15763	locarna	0.000	0.000	0.000	0.000	-0.021
Z17287.1_97-199	X58843.1_3-106	locarna	1.000	1.000	1.000	1.000	1.000
AF075701.1_175-258	Z97086.1_19-102	locarna	1.000	1.000	1.000	1.000	1.000
AE009054.1_2448-2676	M57569.1_218-26	locarna	0.290	0.321	0.306	0.293	0.293
AJ006314.1_1-234	AF216796.1_3-205	locarna	0.000	0.000	0.000	0.000	-0.010
AJ550906.1_56-3	AJ005302.1_281-334	locarna	1.000	1.000	1.000	1.000	1.000
M96747.1_472-585	X62841.1_1711-1824	locarna	1.000	1.000	1.000	1.000	1.000
AF096656.1_393-448	AB097867.1_8930-8985	locarna	1.000	1.000	1.000	1.000	1.000
AE008441.1_6797-6885	AE017178.1_187260-187147	locarna	0.000	0.000	0.000	0.000	-0.023
AF411967.1_856-939	AY134961.1_65-148	locarna	1.000	1.000	1.000	1.000	1.000
AF196717.1_454-510	AF286235.1_8917-8973	locarna	1.000	1.000	1.000	1.000	1.000
X02025.1_1-116	M35565.1_3-118	locarna	0.438	0.424	0.431	0.420	0.420
AF008220.1_7053-7140	AC021639.5_181586-181505	locarna	0.519	0.538	0.528	0.514	0.514
AF493541.1_7070-7138	X52392.1_11128-11195	locarna	1.000	1.000	1.000	1.000	1.000
M74250.1_5-251	M84846.1_1-321	locarna	0.000	0.000	0.000	0.000	-0.008
X03952.1_2442-2467	X02916.1_2142-2167	locarna	1.000	1.000	1.000	1.000	1.000
D90208.1_9114-9179	AB049090.1_9095-9160	locarna	1.000	1.000	1.000	1.000	1.000
AE008837.1_3449-3522	V00654.1_4197-4265	locarna	1.000	1.000	1.000	1.000	1.000
AF349350.1_33-84	AY518983.1_46-97	locarna	1.000	1.000	1.000	1.000	1.000
AY371125.1_1272-1323	AY535716.1_171-222	locarna	1.000	1.000	1.000	1.000	1.000
AJ241840.1_56-3	D00685.1_1-46	locarna	0.000	0.000	0.000	0.000	-0.079
D49757.1_1-390	D37843.1_1-390	locarna	0.948	0.924	0.936	0.935	0.935
Z50054.1_4-120	X02630.1_3-115	locarna	0.447	0.447	0.447	0.435	0.435
AF386057.1_65-148	AF155537.1_65-148	locarna	1.000	1.000	1.000	1.000	1.000
AY188144.1_2-196	AF041264.1_1-191	locarna	0.912	0.912	0.912	0.911	0.911
X61068.1_253-364	Z11823.1_1-116	locarna	0.500	0.500	0.500	0.490	0.490
AF063150.1_457-513	AF190128.1_8857-8913	locarna	1.000	1.000	1.000	1.000	1.000
AB032741.1_407-462	AF096644.1_394-450	locarna	1.000	1.000	1.000	1.000	1.000
X83208.1_1-119	D13618.1_3-119	locarna	0.605	0.591	0.598	0.588	0.588
